NAME,LATITUDE,LONGITUDE
Domstraße/Willy-Brandt-Straße,9.994057,53.547486
Lortzingstraße/Friedrichsberger Straße,10.049568,53.573588
Bebelallee/Meenkwiese,9.994017,53.599203
Neumühlen/Övelgönne,9.914731,53.544302
U-Bahn Baumwall,9.980896,53.544279
Rothenburgsort/Marktplatz/Lindleystraße,10.038938,53.534288
Amsinckstraße/ Nordkanalbrücke,10.012361,53.547868
Auf dem Sande/Kehrwieder-MiniaturWunderland,9.98971,53.543731
Schopenstehl/Alter Fischmarkt,9.997126,53.548703
Leinpfad/Fernsicht,9.999404,53.580391
Barkassenanleger/Mengestraße,9.99647,53.499748
Neunenfelder Straße/ Kurt-Emmerich-Platz,10.003843,53.497232
Wandsbeker Chaussee/ Börnestraße,10.059528,53.57047
Berta-Kröger-Platz/Wilhelm-Strauß-Weg,10.007016,53.497933
OTTO Group / Wandsbeker Straße,10.070397,53.60026
Grasbrookpark/Überseequartier,9.997945,53.540282
Troplowitzstraße / Beiersdorf  / NXP,9.957594,53.582793
Bullerdeich/Stadtreinigung Hamburg,10.03685,53.544979
Reeseberg/EBV-Anzengruberstraße,9.990306,53.44896
Moorstraße/Bahnhof Harburg,9.987994,53.457286
Herbert-Wehner-Platz/Großer Schippsee,9.983319,53.460407
Harburger Ring/Neue Straße,9.9775729,53.4606874
Harburger Rathausstraße/Deichhausweg,9.9804731,53.4599586
Kanalplatz/Harburger Schlossstraße,9.984148,53.4665
Alter Postweg / Heimfelder Straße,9.963537,53.465276
TU Harburg/Denickestraße,9.969487,53.460622
Gotthelfweg/Außenmühlenteich,9.980675,53.447625
Schellerdamm/Hausnummer22,9.986136,53.464282
Fuhlsbüttler Straße/Hellbrookstraße,10.044508,53.59146
Bogenstraße / Grindelallee,9.977694,53.5712
Sophienallee / Sandweg,9.94977,53.569769
Lappenbergsallee / Bei der Apostelkirche,9.944487,53.575573
Emil-Andresen-Straße / Lohkoppelweg,9.952055,53.59285
Herthastraße / Einkaufszentrum Bramfeld,10.075913,53.611878
Friedrich-Ebert-Damm / Lomerstraße,10.079638,53.584919
Feldstraße / Marktstraße,9.969178,53.557414
Caffamacherreihe/Valentinskamp.,9.984209,53.555722
Sievekingsallee/Sievekingdamm,10.052589,53.560835
Horner Weg/Morahtstieg,10.066926,53.555503
Horner Rennbahn/ Meurer Weg,10.085077,53.554193
Osterbrookplatz/ Süderstraße,10.057613,53.546932
Mittelweg/Sophienterrasse-NDR,9.993122,53.576378
Große Rainstraße/Ottenser Hauptstraße,9.930344,53.552339
Hohenzollernring/Friedensallee,9.918508,53.55671
Friedensallee/Hegarstraße ( S Bahn Bahrenfeld ) ,9.908946,53.56026
Dürerstraße/Beslerplatz- S Bahn Othmarschen,9.887159,53.560395
Alsterdorfer Straße/Fuhlsbüttler Straße,10.032,53.62
